,site,trtmt,var,whatDoesNaMean? (didnotmeasure or 0 or doublecheck your data)
39907,"Mount Roberts, AK",SD,nat.seedling.sp.y2,
39908,"Mount Roberts, AK",SD,nat.seedling.count.y2,
39909,"Mount Roberts, AK",SD,exp.seedling.dead,
39910,"Mount Roberts, AK",SD,exp.seedling.missing,
39911,"Mount Roberts, AK",SD,plot.photo,
39912,"Mount Roberts, AK",SD,scar.photo,
39913,"Mount Roberts, AK",SD,date.seeded,
39914,"Mount Roberts, AK",SD,date.counted,
39915,"Mount Roberts, AK",SD,provenance,
39933,"Mount Roberts, AK",SD,exp.seedling.sp,
39940,"Mount Roberts, AK",SD,comment,
40107,"Mount Roberts, AK",SC,tussock.treat,
40108,"Mount Roberts, AK",SC,excrement,
40109,"Mount Roberts, AK",SC,litter,
40110,"Mount Roberts, AK",SC,nat.seedling.sp.y2,
40111,"Mount Roberts, AK",SC,nat.seedling.count.y2,
40112,"Mount Roberts, AK",SC,exp.seedling.sp,
40113,"Mount Roberts, AK",SC,exp.seedling.dead,
40114,"Mount Roberts, AK",SC,exp.seedling.missing,
40115,"Mount Roberts, AK",SC,plot.photo,
40116,"Mount Roberts, AK",SC,scar.photo,
40117,"Mount Roberts, AK",SC,date.seeded,
40118,"Mount Roberts, AK",SC,date.counted,
40119,"Mount Roberts, AK",SC,comment,
40120,"Mount Roberts, AK",SC,provenance,
40314,"Mount Roberts, AK",CN,tussock.treat,
40315,"Mount Roberts, AK",CN,excrement,
40316,"Mount Roberts, AK",CN,litter,
40317,"Mount Roberts, AK",CN,nat.seedling.sp.y2,
40318,"Mount Roberts, AK",CN,nat.seedling.count.y2,
40319,"Mount Roberts, AK",CN,exp.seedling.sp,
40320,"Mount Roberts, AK",CN,exp.seedling.dead,
40321,"Mount Roberts, AK",CN,exp.seedling.missing,
40322,"Mount Roberts, AK",CN,plot.photo,
40323,"Mount Roberts, AK",CN,scar.photo,
40324,"Mount Roberts, AK",CN,date.seeded,
40325,"Mount Roberts, AK",CN,date.counted,
40326,"Mount Roberts, AK",CN,comment,
40327,"Mount Roberts, AK",CN,provenance,
40522,"Mount Roberts, AK",SS,tussock.treat,
40523,"Mount Roberts, AK",SS,excrement,
40524,"Mount Roberts, AK",SS,litter,
40525,"Mount Roberts, AK",SS,nat.seedling.sp.y2,
40526,"Mount Roberts, AK",SS,nat.seedling.count.y2,
40527,"Mount Roberts, AK",SS,exp.seedling.dead,
40528,"Mount Roberts, AK",SS,exp.seedling.missing,
40529,"Mount Roberts, AK",SS,plot.photo,
40530,"Mount Roberts, AK",SS,scar.photo,
40531,"Mount Roberts, AK",SS,date.seeded,
40532,"Mount Roberts, AK",SS,date.counted,
40533,"Mount Roberts, AK",SS,comment,
40534,"Mount Roberts, AK",SS,provenance,
40604,"Mount Roberts, AK",SS,exp.seedling.sp,
40720,Mt Hotham,1,tussock.treat,NA
40721,Mt Hotham,1,excrement,0
40722,Mt Hotham,1,litter,PROBABLY HAVE THIS IN NOTEBOOK
40723,Mt Hotham,1,other,NA
40724,Mt Hotham,1,nat.seedling.sp.y0,0
40725,Mt Hotham,1,nat.seedling.sp.y1,0
40726,Mt Hotham,1,nat.seedling.sp.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40727,Mt Hotham,1,nat.seedling.count.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40728,Mt Hotham,1,exp.seedling.count.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40729,Mt Hotham,1,exp.seedling.dead,0
40730,Mt Hotham,1,exp.seedling.missing,0
40731,Mt Hotham,1,scar.photo,NA
40732,Mt Hotham,1,comment,NA
40733,Mt Hotham,1,provenance,ONE PROVENANCE
40790,Mt Hotham,3,tussock.treat,DID NOT DO
40791,Mt Hotham,3,excrement,0
40792,Mt Hotham,3,litter,PROBABLY HAVE THIS IN NOTEBOOK
40793,Mt Hotham,3,other,0
40794,Mt Hotham,3,nat.seedling.sp.y0,0
40795,Mt Hotham,3,nat.seedling.sp.y1,0
40796,Mt Hotham,3,nat.seedling.sp.y2,0
40797,Mt Hotham,3,nat.seedling.count.y2,0
40798,Mt Hotham,3,exp.seedling.count.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40799,Mt Hotham,3,exp.seedling.dead,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40800,Mt Hotham,3,exp.seedling.missing,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40801,Mt Hotham,3,scar.photo,NA
40802,Mt Hotham,3,comment,NA
40803,Mt Hotham,3,provenance,ONE PROVENENCE
40860,Mt Hotham,4,tussock.treat,NA
40861,Mt Hotham,4,excrement,0
40862,Mt Hotham,4,litter,PROBABLY HAVE THIS IN NOTEBOOK
40863,Mt Hotham,4,other,NA
40864,Mt Hotham,4,nat.seedling.sp.y0,0
40865,Mt Hotham,4,nat.seedling.sp.y1,0
40866,Mt Hotham,4,nat.seedling.sp.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40867,Mt Hotham,4,nat.seedling.count.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40868,Mt Hotham,4,exp.seedling.count.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40869,Mt Hotham,4,exp.seedling.dead,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40870,Mt Hotham,4,exp.seedling.missing,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40871,Mt Hotham,4,scar.photo,NA
40872,Mt Hotham,4,comment,NA
40873,Mt Hotham,4,provenance,ONE PROVENANCE
40930,Mt Hotham,2,tussock.treat,DID NOT DO
40931,Mt Hotham,2,excrement,0
40932,Mt Hotham,2,litter,PROBABLY HAVE THIS IN NOTEBOOK
40933,Mt Hotham,2,other,Na
40934,Mt Hotham,2,nat.seedling.sp.y0,0
40935,Mt Hotham,2,nat.seedling.sp.y1,0
40936,Mt Hotham,2,nat.seedling.sp.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40937,Mt Hotham,2,nat.seedling.count.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40938,Mt Hotham,2,exp.seedling.count.y2,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40939,Mt Hotham,2,exp.seedling.dead,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40940,Mt Hotham,2,exp.seedling.missing,HAVEN'T BEEN TO SITE IN 2ND SUMMER YET
40941,Mt Hotham,2,scar.photo,NA
40942,Mt Hotham,2,comment,NA
40943,Mt Hotham,2,provenance,ONE PROVENANCE
41000,Rif Blanc,SD,tussock.treat,
41001,Rif Blanc,SD,excrement,
41002,Rif Blanc,SD,litter,
41003,Rif Blanc,SD,nat.seedling.sp.y0,
41004,Rif Blanc,SD,nat.seedling.sp.y1,
41005,Rif Blanc,SD,nat.seedling.count.y1,
41006,Rif Blanc,SD,nat.seedling.sp.y2,
41007,Rif Blanc,SD,nat.seedling.count.y2,
41008,Rif Blanc,SD,northing,
41009,Rif Blanc,SD,scar.photo,
41010,Rif Blanc,SD,date.seeded,
41011,Rif Blanc,SD,date.counted,
41024,Rif Blanc,SD,provenance,
41129,Rif Blanc,SS,tussock.treat,
41130,Rif Blanc,SS,excrement,
41131,Rif Blanc,SS,litter,
41132,Rif Blanc,SS,nat.seedling.sp.y0,
41133,Rif Blanc,SS,nat.seedling.sp.y1,
41134,Rif Blanc,SS,nat.seedling.count.y1,
41135,Rif Blanc,SS,nat.seedling.sp.y2,
41136,Rif Blanc,SS,nat.seedling.count.y2,
41137,Rif Blanc,SS,northing,
41138,Rif Blanc,SS,scar.photo,
41139,Rif Blanc,SS,date.seeded,
41140,Rif Blanc,SS,date.counted,
41141,Rif Blanc,SS,provenance,
41259,Rif Blanc,CN,tussock.treat,
41260,Rif Blanc,CN,excrement,
41261,Rif Blanc,CN,litter,
41262,Rif Blanc,CN,nat.seedling.sp.y0,
41263,Rif Blanc,CN,nat.seedling.sp.y1,
41264,Rif Blanc,CN,nat.seedling.count.y1,
41265,Rif Blanc,CN,nat.seedling.sp.y2,
41266,Rif Blanc,CN,nat.seedling.count.y2,
41267,Rif Blanc,CN,northing,
41268,Rif Blanc,CN,scar.photo,
41269,Rif Blanc,CN,date.seeded,
41270,Rif Blanc,CN,date.counted,
41271,Rif Blanc,CN,provenance,
41389,Rif Blanc,SC,tussock.treat,
41390,Rif Blanc,SC,excrement,
41391,Rif Blanc,SC,litter,
41392,Rif Blanc,SC,nat.seedling.sp.y0,
41393,Rif Blanc,SC,nat.seedling.sp.y1,
41394,Rif Blanc,SC,nat.seedling.count.y1,
41395,Rif Blanc,SC,nat.seedling.sp.y2,
41396,Rif Blanc,SC,nat.seedling.count.y2,
41397,Rif Blanc,SC,northing,
41398,Rif Blanc,SC,scar.photo,
41399,Rif Blanc,SC,date.seeded,
41400,Rif Blanc,SC,date.counted,
41401,Rif Blanc,SC,provenance,
41519,Rif Blanc,PSC,tussock.treat,
41520,Rif Blanc,PSC,excrement,
41521,Rif Blanc,PSC,litter,
41522,Rif Blanc,PSC,nat.seedling.sp.y0,
41523,Rif Blanc,PSC,nat.seedling.sp.y1,
41524,Rif Blanc,PSC,nat.seedling.count.y1,
41525,Rif Blanc,PSC,nat.seedling.sp.y2,
41526,Rif Blanc,PSC,nat.seedling.count.y2,
41527,Rif Blanc,PSC,northing,
41528,Rif Blanc,PSC,scar.photo,
41529,Rif Blanc,PSC,date.seeded,
41530,Rif Blanc,PSC,date.counted,
41531,Rif Blanc,PSC,provenance,
41649,Rif Blanc,PSS,tussock.treat,
41650,Rif Blanc,PSS,excrement,
41651,Rif Blanc,PSS,litter,
41652,Rif Blanc,PSS,nat.seedling.sp.y0,
41653,Rif Blanc,PSS,nat.seedling.sp.y1,
41654,Rif Blanc,PSS,nat.seedling.count.y1,
41655,Rif Blanc,PSS,nat.seedling.sp.y2,
41656,Rif Blanc,PSS,nat.seedling.count.y2,
41657,Rif Blanc,PSS,northing,
41658,Rif Blanc,PSS,scar.photo,
41659,Rif Blanc,PSS,date.seeded,
41660,Rif Blanc,PSS,date.counted,
41661,Rif Blanc,PSS,provenance,
41779,"Ruby Ranges (Printers), YT",CN,tussock.treat,
41780,"Ruby Ranges (Printers), YT",CN,non.vascular,
41781,"Ruby Ranges (Printers), YT",CN,moss,
41782,"Ruby Ranges (Printers), YT",CN,lichen,
41783,"Ruby Ranges (Printers), YT",CN,mineral,
41784,"Ruby Ranges (Printers), YT",CN,rock,
41785,"Ruby Ranges (Printers), YT",CN,shrub,
41786,"Ruby Ranges (Printers), YT",CN,excrement,
41787,"Ruby Ranges (Printers), YT",CN,graminoid,
41788,"Ruby Ranges (Printers), YT",CN,other,
41789,"Ruby Ranges (Printers), YT",CN,nat.seedling.sp.y0,
41790,"Ruby Ranges (Printers), YT",CN,nat.seedling.sp.y1,
41791,"Ruby Ranges (Printers), YT",CN,nat.seedling.count.y1,
41792,"Ruby Ranges (Printers), YT",CN,nat.seedling.sp.y2,
41793,"Ruby Ranges (Printers), YT",CN,nat.seedling.count.y2,
41794,"Ruby Ranges (Printers), YT",CN,exp.seedling.sp,
41795,"Ruby Ranges (Printers), YT",CN,exp.seedling.dead,
41796,"Ruby Ranges (Printers), YT",CN,exp.seedling.missing,
41797,"Ruby Ranges (Printers), YT",CN,easting,
41798,"Ruby Ranges (Printers), YT",CN,northing,
41799,"Ruby Ranges (Printers), YT",CN,plot.photo,
41800,"Ruby Ranges (Printers), YT",CN,scar.photo,
41801,"Ruby Ranges (Printers), YT",CN,date.seeded,
41802,"Ruby Ranges (Printers), YT",CN,date.counted,
41803,"Ruby Ranges (Printers), YT",CN,comment,
41804,"Ruby Ranges (Printers), YT",CN,provenance,
41813,"Ruby Ranges (Printers), YT",CN,litter,
42028,"Ruby Ranges (Printers), YT",PSC,tussock.treat,
42029,"Ruby Ranges (Printers), YT",PSC,non.vascular,
42030,"Ruby Ranges (Printers), YT",PSC,moss,
42031,"Ruby Ranges (Printers), YT",PSC,lichen,
42032,"Ruby Ranges (Printers), YT",PSC,mineral,
42033,"Ruby Ranges (Printers), YT",PSC,rock,
42034,"Ruby Ranges (Printers), YT",PSC,shrub,
42035,"Ruby Ranges (Printers), YT",PSC,excrement,
42036,"Ruby Ranges (Printers), YT",PSC,graminoid,
42037,"Ruby Ranges (Printers), YT",PSC,other,
42038,"Ruby Ranges (Printers), YT",PSC,nat.seedling.sp.y0,
42039,"Ruby Ranges (Printers), YT",PSC,nat.seedling.sp.y1,
42040,"Ruby Ranges (Printers), YT",PSC,nat.seedling.count.y1,
42041,"Ruby Ranges (Printers), YT",PSC,nat.seedling.sp.y2,
42042,"Ruby Ranges (Printers), YT",PSC,nat.seedling.count.y2,
42043,"Ruby Ranges (Printers), YT",PSC,exp.seedling.sp,
42044,"Ruby Ranges (Printers), YT",PSC,exp.seedling.dead,
42045,"Ruby Ranges (Printers), YT",PSC,exp.seedling.missing,
42046,"Ruby Ranges (Printers), YT",PSC,easting,
42047,"Ruby Ranges (Printers), YT",PSC,northing,
42048,"Ruby Ranges (Printers), YT",PSC,plot.photo,
42049,"Ruby Ranges (Printers), YT",PSC,scar.photo,
42050,"Ruby Ranges (Printers), YT",PSC,date.seeded,
42051,"Ruby Ranges (Printers), YT",PSC,date.counted,
42052,"Ruby Ranges (Printers), YT",PSC,comment,
42053,"Ruby Ranges (Printers), YT",PSC,provenance,
42273,"Ruby Ranges (Printers), YT",PSS,tussock.treat,
42274,"Ruby Ranges (Printers), YT",PSS,non.vascular,
42275,"Ruby Ranges (Printers), YT",PSS,moss,
42276,"Ruby Ranges (Printers), YT",PSS,lichen,
42277,"Ruby Ranges (Printers), YT",PSS,mineral,
42278,"Ruby Ranges (Printers), YT",PSS,rock,
42279,"Ruby Ranges (Printers), YT",PSS,shrub,
42280,"Ruby Ranges (Printers), YT",PSS,excrement,
42281,"Ruby Ranges (Printers), YT",PSS,graminoid,
42282,"Ruby Ranges (Printers), YT",PSS,litter,
42283,"Ruby Ranges (Printers), YT",PSS,other,
42284,"Ruby Ranges (Printers), YT",PSS,nat.seedling.sp.y0,
42285,"Ruby Ranges (Printers), YT",PSS,nat.seedling.sp.y1,
42286,"Ruby Ranges (Printers), YT",PSS,nat.seedling.count.y1,
42287,"Ruby Ranges (Printers), YT",PSS,nat.seedling.sp.y2,
42288,"Ruby Ranges (Printers), YT",PSS,nat.seedling.count.y2,
42289,"Ruby Ranges (Printers), YT",PSS,exp.seedling.dead,
42290,"Ruby Ranges (Printers), YT",PSS,exp.seedling.missing,
42291,"Ruby Ranges (Printers), YT",PSS,easting,
42292,"Ruby Ranges (Printers), YT",PSS,northing,
42293,"Ruby Ranges (Printers), YT",PSS,plot.photo,
42294,"Ruby Ranges (Printers), YT",PSS,scar.photo,
42295,"Ruby Ranges (Printers), YT",PSS,date.seeded,
42296,"Ruby Ranges (Printers), YT",PSS,date.counted,
42297,"Ruby Ranges (Printers), YT",PSS,comment,
42298,"Ruby Ranges (Printers), YT",PSS,provenance,
42514,"Ruby Ranges (Printers), YT",SC,tussock.treat,
42515,"Ruby Ranges (Printers), YT",SC,moss,
42516,"Ruby Ranges (Printers), YT",SC,lichen,
42517,"Ruby Ranges (Printers), YT",SC,mineral,
42518,"Ruby Ranges (Printers), YT",SC,rock,
42519,"Ruby Ranges (Printers), YT",SC,shrub,
42520,"Ruby Ranges (Printers), YT",SC,excrement,
42521,"Ruby Ranges (Printers), YT",SC,graminoid,
42522,"Ruby Ranges (Printers), YT",SC,other,
42523,"Ruby Ranges (Printers), YT",SC,nat.seedling.sp.y0,
42524,"Ruby Ranges (Printers), YT",SC,nat.seedling.sp.y1,
42525,"Ruby Ranges (Printers), YT",SC,nat.seedling.count.y1,
42526,"Ruby Ranges (Printers), YT",SC,nat.seedling.sp.y2,
42527,"Ruby Ranges (Printers), YT",SC,nat.seedling.count.y2,
42528,"Ruby Ranges (Printers), YT",SC,exp.seedling.sp,
42529,"Ruby Ranges (Printers), YT",SC,exp.seedling.dead,
42530,"Ruby Ranges (Printers), YT",SC,exp.seedling.missing,
42531,"Ruby Ranges (Printers), YT",SC,easting,
42532,"Ruby Ranges (Printers), YT",SC,northing,
42533,"Ruby Ranges (Printers), YT",SC,plot.photo,
42534,"Ruby Ranges (Printers), YT",SC,scar.photo,
42535,"Ruby Ranges (Printers), YT",SC,date.seeded,
42536,"Ruby Ranges (Printers), YT",SC,date.counted,
42537,"Ruby Ranges (Printers), YT",SC,comment,
42538,"Ruby Ranges (Printers), YT",SC,provenance,
42540,"Ruby Ranges (Printers), YT",SC,non.vascular,
42547,"Ruby Ranges (Printers), YT",SC,litter,
42760,"Ruby Ranges (Printers), YT",SD,tussock.treat,
42761,"Ruby Ranges (Printers), YT",SD,non.vascular,
42762,"Ruby Ranges (Printers), YT",SD,moss,
42763,"Ruby Ranges (Printers), YT",SD,lichen,
42764,"Ruby Ranges (Printers), YT",SD,mineral,
42765,"Ruby Ranges (Printers), YT",SD,rock,
42766,"Ruby Ranges (Printers), YT",SD,shrub,
42767,"Ruby Ranges (Printers), YT",SD,excrement,
42768,"Ruby Ranges (Printers), YT",SD,graminoid,
42769,"Ruby Ranges (Printers), YT",SD,other,
42770,"Ruby Ranges (Printers), YT",SD,nat.seedling.sp.y0,
42771,"Ruby Ranges (Printers), YT",SD,nat.seedling.sp.y1,
42772,"Ruby Ranges (Printers), YT",SD,nat.seedling.count.y1,
42773,"Ruby Ranges (Printers), YT",SD,nat.seedling.sp.y2,
42774,"Ruby Ranges (Printers), YT",SD,nat.seedling.count.y2,
42775,"Ruby Ranges (Printers), YT",SD,exp.seedling.dead,
42776,"Ruby Ranges (Printers), YT",SD,exp.seedling.missing,
42777,"Ruby Ranges (Printers), YT",SD,easting,
42778,"Ruby Ranges (Printers), YT",SD,northing,
42779,"Ruby Ranges (Printers), YT",SD,plot.photo,
42780,"Ruby Ranges (Printers), YT",SD,scar.photo,
42781,"Ruby Ranges (Printers), YT",SD,date.seeded,
42782,"Ruby Ranges (Printers), YT",SD,date.counted,
42783,"Ruby Ranges (Printers), YT",SD,comment,
42784,"Ruby Ranges (Printers), YT",SD,provenance,
42793,"Ruby Ranges (Printers), YT",SD,litter,
43001,"Ruby Ranges (Printers), YT",SS,tussock.treat,
43002,"Ruby Ranges (Printers), YT",SS,non.vascular,
43003,"Ruby Ranges (Printers), YT",SS,moss,
43004,"Ruby Ranges (Printers), YT",SS,lichen,
43005,"Ruby Ranges (Printers), YT",SS,mineral,
43006,"Ruby Ranges (Printers), YT",SS,rock,
43007,"Ruby Ranges (Printers), YT",SS,excrement,
43008,"Ruby Ranges (Printers), YT",SS,graminoid,
43009,"Ruby Ranges (Printers), YT",SS,other,
43010,"Ruby Ranges (Printers), YT",SS,nat.seedling.sp.y0,
43011,"Ruby Ranges (Printers), YT",SS,nat.seedling.sp.y1,
43012,"Ruby Ranges (Printers), YT",SS,nat.seedling.count.y1,
43013,"Ruby Ranges (Printers), YT",SS,nat.seedling.sp.y2,
43014,"Ruby Ranges (Printers), YT",SS,nat.seedling.count.y2,
43015,"Ruby Ranges (Printers), YT",SS,exp.seedling.dead,
43016,"Ruby Ranges (Printers), YT",SS,exp.seedling.missing,
43017,"Ruby Ranges (Printers), YT",SS,easting,
43018,"Ruby Ranges (Printers), YT",SS,northing,
43019,"Ruby Ranges (Printers), YT",SS,plot.photo,
43020,"Ruby Ranges (Printers), YT",SS,scar.photo,
43021,"Ruby Ranges (Printers), YT",SS,date.seeded,
43022,"Ruby Ranges (Printers), YT",SS,date.counted,
43023,"Ruby Ranges (Printers), YT",SS,comment,
43024,"Ruby Ranges (Printers), YT",SS,provenance,
43103,"Ruby Ranges (Printers), YT",SS,shrub,
43239,Tessí_,CN,tussock.treat,
43240,Tessí_,CN,organic.depth,
43241,Tessí_,CN,forb,
43242,Tessí_,CN,litter,
43243,Tessí_,CN,other,
43244,Tessí_,CN,nat.seedling.sp.y0,
43245,Tessí_,CN,nat.seedling.count.y0,
43246,Tessí_,CN,nat.seedling.sp.y1,
43247,Tessí_,CN,nat.seedling.count.y1,
43248,Tessí_,CN,nat.seedling.sp.y2,
43249,Tessí_,CN,nat.seedling.count.y2,
43250,Tessí_,CN,exp.seedling.dead,
43251,Tessí_,CN,exp.seedling.missing,
43252,Tessí_,CN,utm.zone,
43253,Tessí_,CN,easting,
43254,Tessí_,CN,northing,
43255,Tessí_,CN,plot.photo,
43256,Tessí_,CN,scar.photo,
43257,Tessí_,CN,date.seeded,
43258,Tessí_,CN,date.counted,
43259,Tessí_,CN,comment,
43260,Tessí_,CN,provenance,
43457,Tessí_,SC,tussock.treat,
43458,Tessí_,SC,forb,
43459,Tessí_,SC,litter,
43460,Tessí_,SC,other,
43461,Tessí_,SC,nat.seedling.sp.y0,
43462,Tessí_,SC,nat.seedling.count.y0,
43463,Tessí_,SC,nat.seedling.sp.y1,
43464,Tessí_,SC,nat.seedling.count.y1,
43465,Tessí_,SC,nat.seedling.sp.y2,
43466,Tessí_,SC,nat.seedling.count.y2,
43467,Tessí_,SC,exp.seedling.dead,
43468,Tessí_,SC,exp.seedling.missing,
43469,Tessí_,SC,utm.zone,
43470,Tessí_,SC,easting,
43471,Tessí_,SC,northing,
43472,Tessí_,SC,plot.photo,
43473,Tessí_,SC,scar.photo,
43474,Tessí_,SC,date.seeded,
43475,Tessí_,SC,date.counted,
43476,Tessí_,SC,comment,
43477,Tessí_,SC,provenance,
43667,Tessí_,SD,tussock.treat,
43668,Tessí_,SD,organic.depth,
43669,Tessí_,SD,forb,
43670,Tessí_,SD,litter,
43671,Tessí_,SD,other,
43672,Tessí_,SD,nat.seedling.sp.y0,
43673,Tessí_,SD,nat.seedling.count.y0,
43674,Tessí_,SD,nat.seedling.sp.y1,
43675,Tessí_,SD,nat.seedling.count.y1,
43676,Tessí_,SD,nat.seedling.sp.y2,
43677,Tessí_,SD,nat.seedling.count.y2,
43678,Tessí_,SD,exp.seedling.dead,
43679,Tessí_,SD,exp.seedling.missing,
43680,Tessí_,SD,utm.zone,
43681,Tessí_,SD,easting,
43682,Tessí_,SD,northing,
43683,Tessí_,SD,scar.photo,
43684,Tessí_,SD,date.seeded,
43685,Tessí_,SD,date.counted,
43686,Tessí_,SD,comment,
43687,Tessí_,SD,provenance,
43725,Tessí_,SD,plot.photo,
43882,Tessí_,SS,tussock.treat,
43883,Tessí_,SS,organic.depth,
43884,Tessí_,SS,forb,
43885,Tessí_,SS,litter,
43886,Tessí_,SS,other,
43887,Tessí_,SS,nat.seedling.sp.y0,
43888,Tessí_,SS,nat.seedling.count.y0,
43889,Tessí_,SS,nat.seedling.sp.y1,
43890,Tessí_,SS,nat.seedling.count.y1,
43891,Tessí_,SS,nat.seedling.sp.y2,
43892,Tessí_,SS,nat.seedling.count.y2,
43893,Tessí_,SS,exp.seedling.dead,
43894,Tessí_,SS,exp.seedling.missing,
43895,Tessí_,SS,utm.zone,
43896,Tessí_,SS,easting,
43897,Tessí_,SS,northing,
43898,Tessí_,SS,scar.photo,
43899,Tessí_,SS,date.seeded,
43900,Tessí_,SS,date.counted,
43901,Tessí_,SS,comment,
43902,Tessí_,SS,provenance,
43958,Tessí_,SS,plot.photo,
44085,TexasCreek,CN,tussock.treat,
44086,TexasCreek,CN,excrement,
44087,TexasCreek,CN,other,
44088,TexasCreek,CN,nat.seedling.sp.y0,
44089,TexasCreek,CN,nat.seedling.count.y0,
44090,TexasCreek,CN,nat.seedling.sp.y1,
44091,TexasCreek,CN,nat.seedling.count.y1,
44092,TexasCreek,CN,nat.seedling.sp.y2,
44093,TexasCreek,CN,nat.seedling.count.y2,
44094,TexasCreek,CN,exp.seedling.count.y2,
44095,TexasCreek,CN,exp.seedling.missing,
44096,TexasCreek,CN,easting,
44097,TexasCreek,CN,northing,
44098,TexasCreek,CN,scar.photo,
44099,TexasCreek,CN,comment,
44100,TexasCreek,CN,provenance,
44245,TexasCreek,SC,tussock.treat,
44246,TexasCreek,SC,excrement,
44247,TexasCreek,SC,other,
44248,TexasCreek,SC,nat.seedling.sp.y0,
44249,TexasCreek,SC,nat.seedling.count.y0,
44250,TexasCreek,SC,nat.seedling.sp.y1,
44251,TexasCreek,SC,nat.seedling.count.y1,
44252,TexasCreek,SC,nat.seedling.sp.y2,
44253,TexasCreek,SC,nat.seedling.count.y2,
44254,TexasCreek,SC,exp.seedling.count.y2,
44255,TexasCreek,SC,exp.seedling.missing,
44256,TexasCreek,SC,easting,
44257,TexasCreek,SC,northing,
44258,TexasCreek,SC,comment,
44259,TexasCreek,SC,provenance,
44410,TexasCreek,SD,tussock.treat,
44411,TexasCreek,SD,excrement,
44412,TexasCreek,SD,other,
44413,TexasCreek,SD,nat.seedling.sp.y0,
44414,TexasCreek,SD,nat.seedling.count.y0,
44415,TexasCreek,SD,nat.seedling.sp.y1,
44416,TexasCreek,SD,nat.seedling.count.y1,
44417,TexasCreek,SD,nat.seedling.sp.y2,
44418,TexasCreek,SD,nat.seedling.count.y2,
44419,TexasCreek,SD,exp.seedling.count.y2,
44420,TexasCreek,SD,exp.seedling.missing,
44421,TexasCreek,SD,easting,
44422,TexasCreek,SD,northing,
44423,TexasCreek,SD,scar.photo,
44424,TexasCreek,SD,comment,
44425,TexasCreek,SD,provenance,
44570,TexasCreek,SS,tussock.treat,
44571,TexasCreek,SS,excrement,
44572,TexasCreek,SS,other,
44573,TexasCreek,SS,nat.seedling.sp.y0,
44574,TexasCreek,SS,nat.seedling.count.y0,
44575,TexasCreek,SS,nat.seedling.sp.y1,
44576,TexasCreek,SS,nat.seedling.count.y1,
44577,TexasCreek,SS,nat.seedling.sp.y2,
44578,TexasCreek,SS,nat.seedling.count.y2,
44579,TexasCreek,SS,exp.seedling.count.y2,
44580,TexasCreek,SS,exp.seedling.missing,
44581,TexasCreek,SS,easting,
44582,TexasCreek,SS,northing,
44583,TexasCreek,SS,comment,
44584,TexasCreek,SS,provenance,
44720,"Wolf Creek, YK",CTL,tussock.treat,
44721,"Wolf Creek, YK",CTL,rock,
44722,"Wolf Creek, YK",CTL,excrement,
44723,"Wolf Creek, YK",CTL,litter,
44724,"Wolf Creek, YK",CTL,nat.seedling.sp.y0,
44725,"Wolf Creek, YK",CTL,nat.seedling.sp.y1,
44726,"Wolf Creek, YK",CTL,nat.seedling.count.y1,
44727,"Wolf Creek, YK",CTL,nat.seedling.sp.y2,
44728,"Wolf Creek, YK",CTL,nat.seedling.count.y2,
44729,"Wolf Creek, YK",CTL,exp.seedling.sp,
44730,"Wolf Creek, YK",CTL,exp.seedling.dead,
44731,"Wolf Creek, YK",CTL,exp.seedling.missing,
44732,"Wolf Creek, YK",CTL,easting,
44733,"Wolf Creek, YK",CTL,northing,
44734,"Wolf Creek, YK",CTL,scar.photo,
44735,"Wolf Creek, YK",CTL,date.seeded,
44736,"Wolf Creek, YK",CTL,date.counted,
44737,"Wolf Creek, YK",CTL,provenance,
44991,"Wolf Creek, YK",CTL,moss,
44992,"Wolf Creek, YK",CTL,lichen,
44993,"Wolf Creek, YK",CTL,mineral,
44994,"Wolf Creek, YK",CTL,organic,
44996,"Wolf Creek, YK",CTL,shrub,
44998,"Wolf Creek, YK",CTL,forb,
44999,"Wolf Creek, YK",CTL,graminoid,
45007,"Wolf Creek, YK",CTL,exp.seedling.count.y1,
45008,"Wolf Creek, YK",CTL,exp.seedling.count.y2,
49520,"Wolf Creek, YK",SC,tussock.treat,
49521,"Wolf Creek, YK",SC,moss,
49522,"Wolf Creek, YK",SC,lichen,
49523,"Wolf Creek, YK",SC,mineral,
49524,"Wolf Creek, YK",SC,organic,
49525,"Wolf Creek, YK",SC,rock,
49526,"Wolf Creek, YK",SC,shrub,
49527,"Wolf Creek, YK",SC,excrement,
